STOP_FRISK_ID,STOP_FRISK_DATE,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_PREMISES_NAME,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1,1/1/2018,19:04:00,2018,January,Monday,Based on C/W on Scene,APP,POM,1,SGT,1,Y,,P,PSB,0,MENACING,18,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,,,,Y,Y,,,,,Y,,,,,,,DE,COOPERATIVE,,MALE,WHITE,5.1,170,MED,BRO,BLK,,1,G,,VARICK STREET && FRANKLIN STREET,,VARICK STREET,982327,201274,,PBMS,MANHATTAN
2,1/1/2018,23:00:00,2018,January,Monday,Based on Radio Run,APP,POM,34,SGT,34,N,O,P,PSB,1,CPW,15,Y,,N,N,,N,,Y,,,,Y,Y,N,,,,N,,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,DE,NERVOUS,26,MALE,BLACK HISPANIC,6.1,250,HEA,BRO,BLK,,34,C,,DYCKMAN STREET && POST AVENUE,,DYCKMAN STREET,1004892,253548,,PBMN,MANHATTAN
3,1/1/2018,23:55:00,2018,January,Monday,Based on Radio Run,APP,POM,808,SGT,808,Y,I,H,Housing,0,GRAND LARCENY,10,Y,,N,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,,,Y,,,,,Y,,,,,,,DE,RELIEVED,40,MALE,WHITE HISPANIC,5.5,150,THN,BRO,BLD,,43,B,4M,2245 RANDALL AVENUE,,RANDALL AVENUE,1026706,237776,,PBBX,BRONX
4,1/1/2018,3:23:00,2018,January,Monday,Based on Radio Run,APP,POM,63,SGT,63,Y,O,P,PSB,2,ROBBERY,15,Y,,Y,Y,ROBBERY,N,,Y,,,,Y,Y,N,,,,N,,,,,,Y,Y,,Y,,,,Y,,,,Y,,,,,,Y,,DE,COMPLAIN,38,MALE,AMERICAN INDIAN/ALASKAN NATIVE,5.1,160,MED,BRO,BLK,,63,B,,EAST 38 STREET && AVENUE L,,EAST 38 STREET,1001347,166195,,PBBS,BROOKLYN
5,1/1/2018,3:23:00,2018,January,Monday,Based on Radio Run,APP,POM,63,SGT,63,Y,,P,PSB,2,ROBBERY,15,Y,,Y,Y,ROBBERY,N,,Y,,,,Y,Y,N,,,,N,,,,,,Y,Y,,Y,,,,Y,,,,Y,,,,,,Y,,DE,COMPLAINT,36,MALE,WHITE,5.11,230,MED,BRO,BLK,,63,B,,EAST 38 STREET && AVENUE L,,EAST 38 STREET,1001347,166195,,PBBS,BROOKLYN
6,1/1/2018,21:20:00,2018,January,Monday,Based on Self Initiated,APP,POM,71,SGT,71,Y,O,P,PSB,1,UNAUTHORIZED USE OF A VEHICLE,15,Y,,N,N,,N,,Y,,,,Y,N,Y,,,,N,,,,,,,Y,,,,,,Y,,,,,Y,,,,,,,DE,NERVOUS,20,MALE,BLACK,5.1,150,THN,BRO,BLK,,67,C,,178 ROCKAWAY PARKWAY,,ROCKAWAY PARKWAY,1006033,180591,,PBBS,BROOKLYN
7,1/1/2018,0:00:00,2018,January,Monday,Based on Self Initiated,APP,POM,425,SSA,425,Y,O,P,PSB,1,CPW,10,Y,,Y,Y,CPW,N,,Y,,,,Y,Y,Y,Y,,,Y,,,,,,,Y,,,,,,,,,,Y,,,,,Y,,,N/A,N/A,46,MALE,BLACK,5.7,215,HEA,BRO,BLK,,67,B,,625 EAST 40 STREET,,EAST 40 STREET,1001224,172560,,PBBS,BROOKLYN
8,1/1/2018,0:00:00,2018,January,Monday,Based on Self Initiated,APP,POM,425,SSA,425,Y,O,P,PSB,1,CPW,10,Y,,Y,Y,CPW,N,,Y,,,,Y,Y,N,Y,,,Y,,,,,,,Y,,,,,Y,,,,,Y,,,,,Y,,,N/A,N/A,36,MALE,BLACK,5.8,170,XXX,BRO,BLK,,67,B,,625 EAST 40 STREET,,EAST 40 STREET,1001224,172560,,PBBS,BROOKLYN
9,1/1/2018,0:00:00,2018,January,Monday,Based on Self Initiated,APP,POM,425,SSA,425,Y,O,P,PSB,1,CPW,10,Y,,Y,Y,CPW,N,,Y,,,,Y,Y,N,Y,,,Y,,,,,,,Y,,,,,Y,,,,,,,,,,Y,,,N/A,N/A,29,MALE,BLACK,6.1,185,XXX,BRO,BLK,,67,B,,625 EAST 40 STREET,,EAST 40 STREET,1001224,172560,,PBBS,BROOKLYN
10,1/1/2018,0:00:00,2018,January,Monday,Based on Self Initiated,APP,POM,425,SSA,425,Y,O,P,PSB,1,CPW,10,Y,,Y,Y,CPW,N,,Y,,,,Y,Y,N,Y,,,Y,,,,,,,Y,,,,,Y,,,,,,,,,,Y,,,N/A,N/A,41,MALE,BLACK,6.1,190,XXX,BRO,BLK,,67,B,,625 EAST 40 STREET,,EAST 40 STREET,1001224,172560,,PBBS,BROOKLYN
